iter	Passed	Remaining
0	155	77402
1	162	40476
2	177	29454
3	185	22998
4	192	19030
5	199	16439
6	207	14631
7	214	13217
8	222	12156
9	230	11280
10	238	10584
11	245	9966
12	253	9488
13	259	9015
14	267	8635
15	275	8328
16	283	8064
17	290	7791
18	300	7605
19	308	7403
20	317	7234
21	324	7050
22	334	6935
23	340	6761
24	348	6630
25	355	6484
26	363	6362
27	370	6244
28	377	6124
29	384	6025
30	392	5930
31	399	5843
32	406	5752
33	413	5669
34	420	5590
35	427	5509
36	436	5457
37	442	5381
38	450	5320
39	457	5263
40	465	5208
41	472	5149
42	479	5093
43	486	5045
44	493	4987
45	501	4947
46	507	4891
47	515	4857
48	522	4812
49	531	4782
50	539	4748
51	548	4729
52	556	4689
53	564	4665
54	571	4623
55	580	4602
56	587	4562
57	594	4533
58	601	4496
59	609	4466
60	616	4434
61	622	4400
62	630	4371
63	637	4341
64	645	4317
65	651	4286
66	658	4255
67	665	4228
68	672	4199
69	679	4176
70	686	4149
71	693	4124
72	700	4099
73	707	4073
74	714	4050
75	721	4022
76	729	4005
77	735	3980
78	743	3960
79	751	3942
80	757	3920
81	765	3904
82	772	3883
83	780	3864
84	786	3841
85	795	3827
86	801	3803
87	809	3788
88	815	3766
89	822	3748
90	830	3732
91	837	3714
92	845	3700
93	852	3680
94	860	3670
95	867	3650
96	875	3635
97	881	3616
98	888	3597
99	895	3581
100	901	3563
101	909	3547
102	915	3529
103	923	3515
104	929	3497
105	936	3482
106	943	3467
107	950	3451
108	958	3439
109	965	3423
110	972	3408
111	980	3395
112	987	3380
113	993	3364
114	1000	3350
115	1008	3338
116	1014	3321
117	1022	3310
118	1029	3295
119	1036	3281
120	1045	3274
121	1054	3266
122	1061	3253
123	1075	3261
124	1084	3253
125	1092	3243
126	1100	3231
127	1108	3222
128	1115	3208
129	1123	3196
130	1129	3180
131	1137	3170
132	1143	3156
133	1152	3146
134	1158	3132
135	1165	3118
136	1172	3107
137	1179	3094
138	1188	3085
139	1195	3072
140	1203	3064
141	1211	3054
142	1219	3044
143	1226	3030
144	1233	3018
145	1239	3006
146	1246	2992
147	1254	2984
148	1261	2970
149	1268	2960
150	1276	2950
151	1283	2939
152	1292	2930
153	1302	2927
154	1311	2918
155	1322	2915
156	1332	2911
157	1340	2902
158	1350	2896
159	1360	2891
160	1370	2886
161	1379	2878
162	1388	2871
163	1399	2866
164	1406	2856
165	1416	2849
166	1424	2840
167	1434	2834
168	1441	2824
169	1449	2814
170	1456	2802
171	1464	2792
172	1470	2779
173	1479	2771
174	1485	2759
175	1492	2747
176	1499	2736
177	1507	2726
178	1515	2717
179	1522	2707
180	1531	2698
181	1538	2688
182	1548	2681
183	1555	2670
184	1563	2662
185	1570	2651
186	1578	2641
187	1585	2631
188	1594	2624
189	1602	2614
190	1610	2606
191	1617	2594
192	1624	2584
193	1632	2574
194	1638	2562
195	1646	2553
196	1652	2542
197	1660	2532
198	1667	2522
199	1674	2512
200	1681	2501
201	1689	2492
202	1697	2484
203	1704	2473
204	1712	2464
205	1719	2453
206	1727	2444
207	1734	2434
208	1742	2425
209	1749	2415
210	1757	2407
211	1767	2401
212	1774	2391
213	1781	2381
214	1788	2370
215	1797	2363
216	1804	2352
217	1812	2344
218	1819	2334
219	1827	2325
220	1833	2315
221	1841	2306
222	1848	2295
223	1856	2286
224	1863	2278
225	1871	2268
226	1879	2260
227	1885	2249
228	1894	2241
229	1901	2232
230	1909	2223
231	1916	2213
232	1923	2204
233	1941	2206
234	1947	2196
235	1955	2187
236	1961	2176
237	1969	2168
238	1976	2158
239	1983	2148
240	1990	2139
241	1997	2129
242	2004	2120
243	2011	2110
244	2017	2099
245	2024	2090
246	2032	2082
247	2040	2073
248	2046	2062
249	2053	2053
250	2060	2044
251	2068	2035
252	2075	2026
253	2082	2016
254	2091	2009
255	2097	1999
256	2105	1990
257	2111	1980
258	2117	1970
